,Unnamed: 0,logs,cat
5491,5491,this month the bill on the election has already gone from high to very low ,bills
2852,2852,i had to fill gasoline on my car she wasn not answering my phone ,transport
3621,3621,the new amazon offer was amazing and i bought a laptop ,shopping
2431,2431,i had to pump petrol on my bike,transport
1210,1210,i just went by bus to office today,transport
3022,3022,second class ac train is scheduled ,transport
1880,1880,she travelled to korea to visit the girl ,transport
1864,1864,i went to us today ,transport
4811,4811,book purchased,shopping
1162,1162,bought some cashew nuts and dried fruits,food
207,207,bought fruits and vegetables,food
3,3,i took the hotel food ,food
579,579,i went to the supermarket for some food ,food
4231,4231,i went shopping today for my shoes ,shopping
4349,4349,i ve already bought a new shirt ,shopping
989,989,i ordered a meal of swine ,food
6469,6469,my district bills are paid ,bills
5236,5236,the new one is buying a new tv ,shopping
5485,5485,the electrapporte had high votes this month,bills
3927,3927,they bought a pack of uniforms for the kids ,shopping
670,670,today i bought food from you ,food
445,445,i bought a couple of meals today ,food
5642,5642,a mobile bill for the full,bills
5144,5144,they bought a new amp ,shopping
4587,4587,i bought my dress for wedding,shopping
1322,1322,i m filling the gas station today ,transport
534,534,i came to the bakery and bought some ,food
2850,2850,i had to clean myself with petrol today ,transport
133,133,i had something for breakfast today ,food
5742,5742,the mortgage was paid for by my house ,bills
5187,5187,i bought a new headset too ,shopping
4457,4457,i bought a new watch but ,shopping
1909,1909,i only lasted a few short drives today ,transport
4681,4681,i bought a new joystick ,shopping
3562,3562,he bought me a mobile from amazon ,shopping
3250,3250,i bought a desktop computer with speakers and many more,shopping
404,404,today i bought rice chicken and other food ,food
2326,2326,i booked tickets for my flight ,transport
3899,3899,i bought two jeans today ,shopping
4520,4520,i just picked up my new samsung ,shopping
6246,6246,i got paid for this year is cars insurance policy ,bills
3018,3018,second class of ac trains are booked on behalf of the commission ,transport
5662,5662,the broadband prices are paid for,bills
4111,4111,i bought xbox today ,shopping
4994,4994,i bought my gloves ,shopping
4800,4800,books on buying,shopping
3546,3546,today i bought my new clothes ,shopping
5857,5857,bill payments,bills
1228,1228,i booked flight tickets for the trip,transport
5836,5836,he paid a bill of broadband for the internet ,bills
6026,6026,my emi they re all paid ,bills
4637,4637,i paid for a new pair of goggles ,shopping
1810,1810,cost of repair,transport
1260,1260,this trip was amazing,transport
2095,2095,my bike was fixing ,transport
3806,3806,today i bought the keys and mouse ,shopping
3386,3386,i bought allen is shirt ,shopping
1158,1158,bought all house grocery and bread,food
2342,2342,i took uber in the office immediately ,transport
2423,2423,i had to fill the tank with petrol ,transport
5978,5978,my rent is paid ,bills
2035,2035,uber cost for one day,transport
3600,3600,i bought playingstation ,shopping
6367,6367,i have to pay my returns every year ,bills
6019,6019,my emi is all paid ,bills
6372,6372,i have to pay a tax return ,bills
218,218,purchase fruit and vegetables,food
6402,6402,the rent was paid for by water every month ,bills
4406,4406,i bought amazon prime for the month ,shopping
248,248,i came for vegables today,food
6484,6484,my house bill has been fully paid,bills
2353,2353,berta charges,transport
1884,1884,he traveled to korea,transport
2462,2462,i took a car to my office ,transport
2485,2485,amount of money for the repair of the car ,transport
2280,2280,auto expense from the apartment to the office,transport
912,912,today is lunch has been spent at the office in which he was born ,food
3142,3142,ticket for flight,transport
2886,2886,i went for a beautiful ride ,transport
5888,5888,i paid the rent for the house ,bills
6476,6476,bought a new bike,bills
6028,6028,my emi is all paid for ,bills
5850,5850,i used to pay for the broadband bill ,bills
4092,4092,i bought the mouse and the keyboard ,shopping
1942,1942,today i took m car to drive and filled deisel as well ,transport
6370,6370,i have to pay my tax returns every year but i don not have to work in it,bills
459,459,i only brought two dinners ,food
3470,3470,the new addidas shoes are perfect ,shopping
3730,3730,i bought a television ,shopping
69,69,coffee and chips and so forth ,food
6373,6373,i have to pay taxes for every year ,bills
785,785,today i have bought one liter of oil oil ,food
4678,4678,i bought a new set of joysticks,shopping
2464,2464,i went to my office because it was raining ,transport
5224,5224,card bought,shopping
1001,1001,i ordered out of swiggy,food
998,998,i ordered my meals and now i order my fries ,food
2769,2769,i went for a long drive today ,transport
1669,1669,today when my own car was full i was empty ,transport
1244,1244,amount sent on petrol,transport
25,25,purchased snacks and candy,food
3057,3057,i made repairs last week ,transport
1813,1813,so a bus to work and a bus to the office ,transport
1567,1567,i was in the gas station today ,transport
2497,2497,i have no wheels so i had to fix it ,transport
592,592,i bought all of the food from the store today ,food
457,457,i bought two food vouchers ,food
4155,4155,i bought a book on my way to a lilypudding today ,shopping
5672,5672,i ve got a full 1 5 mil my broadband bills are fully paid ,bills
2407,2407,i have a gas in the car ,transport
2279,2279,a mortgage from home to office,transport
2765,2765,i m going on a trip today ,transport
2878,2878,i went to a nice trip today ,transport
1998,1998,today i was on my way to the office ,transport
4320,4320,mobile phone,shopping
3359,3359,i m shopping for shoes ,shopping
2952,2952,i was on my trip to munnar in a short time,transport
1381,1381,i m filled with diesel today,transport
5690,5690,charges on the internet are paid,bills
2594,2594,my car needs a replacement ,transport
4173,4173,i went to bookstores and bought a couple of drinks ,shopping
751,751,i bought cream cookies and jam and now i m shopping ,food
1308,1308,filling tanks,transport
2631,2631,i m going to the homw town ,transport
5602,5602,a refund paid for,bills
2624,2624,i m just going to school in homw city ,transport
1890,1890,she went to korea ,transport
3819,3819,i bought a new coat today ,shopping
1709,1709,i filled 10 gallons of diesel on the car ,transport
5711,5711,i only owed my house today ,bills
131,131,i ve had some snacks today ,food
803,803,today i found one kilo of beans and 1 litre of olive oil ,food
3856,3856,i bought a watch on flip kart ,shopping
6528,6528,water authority bill is paid,bills
1926,1926,i had to buy petrol today ,transport
716,716,i bought fish and a bag of chips ,food
6143,6143,i paid you a monthly check i didn not have to repay ,bills
475,475,total cost shopping for products from a store,food
632,632,i bought fresh fruits and milk today ,food
4984,4984,i bought my skin gloves ,shopping
2988,2988,booked tickets tickets for delhi,transport
2787,2787,cost of my trip,transport
3085,3085,filled with gasoline gasoline ,transport
3017,3017,class of second grade ac train is booked,transport
5997,5997,i paid my debt for the month,bills
2528,2528,fixed bike,transport
5700,5700,i just ordered dinner tonight i just paid for my house ,bills
821,821,we bought coconut and dried potatoes today,food
1046,1046,we ordered burger at uber ate,food
6065,6065,emi is deducted from my pension fund,bills
1565,1565,i came to the gas station today to get me a lighter ,transport
2321,2321,i booked a plane ticket ,transport
1785,1785,expenses for fuel for the oil cars,transport
4258,4258,new television,shopping
3695,3695,today i bought myself a smartphone ,shopping
2081,2081,i had to go to uber today i couldn not get a cab ,transport
3266,3266,netflix got a year,shopping
202,202,bought vegetables for fruit ,food
4567,4567,i bought a new car today and they didn not give me the key ,shopping
2063,2063,i went to university at uber ,transport
604,604,today today i bought fresh fruit and vegetables from the store ,food
6260,6260,i ve repaid my loan for the month ,bills
3119,3119,the tickets at the bus stop,transport
212,212,fruit and vegetables,food
6241,6241,i m fully insured for this year ,bills
3482,3482,you buy ray ban is sunglasses today ,shopping
3404,3404,i bought jeans and t shirts today ,shopping
1954,1954,i used to go to work today,transport
5871,5871,bills payable,bills
234,234,i have a free meal today ,food
4257,4257,the budget for the new television broadcast,shopping
3137,3137,booking flight,transport
3721,3721,i bought a television camera today ,shopping
3539,3539,i bought a new wardrobe today ,shopping
6128,6128,paid for the mobile service this is paid ,bills
1525,1525,my bike fell today ,transport
4756,4756,the works of novelists,shopping
498,498,i bought veggie cakes today ,food
3355,3355,i had a trip and i took a look at the cost,shopping
3195,3195,she went to the gas station to get rid of the gas ,transport
2208,2208,i went down to the office today ,transport
853,853,i bought some nuts from cashew and dried fruits ,food
2165,2165,i went to chennai for a train ,transport
508,508,i bought ice creams for today i have some ,food
449,449,i bought two lunches today ,food
6330,6330,we got a house rent for this house ,bills
328,328,i bought some coffee and got some lunch ,food
3136,3136,tickets to the airport ,transport
1257,1257,my todays pertol expense,transport
6414,6414,i paid for water ,bills
6519,6519,I have full paid for this year car insurance,bills
5654,5654,mobile phone bill,bills
41,41,i bought cool drinks at home today,food
4409,4409,i bought amazon prime for a month i ve got a gift for my baby ,shopping
2072,2072,i went to college,transport
3952,3952,i bought children is clothes ,shopping
655,655,eat bread,food
1584,1584,we went on a bike ride ,transport
603,603,today i bought fresh vegetables ,food
4993,4993,i bought the gloves,shopping
2026,2026,i took uber and worked ,transport
130,130,i ordered dessert today ,food
1266,1266,filled my car petrol ,transport
4579,4579,bought the clothes for marriage,shopping
3518,3518,i really liked the new saread i bought for her ,shopping
4896,4896,he is made a uniform for the kids ,shopping
5598,5598,paid bill,bills
2478,2478,money spent to repair cars ,transport
6342,6342,a monthly premium of this month shall be paid ,bills
1845,1845,booked tickets,transport
4310,4310,he has a full price in his name for the brand new smartphone,shopping
4196,4196,for my cost of shopping,shopping
5759,5759,i ll pay my mortgage from this month ,bills
3787,3787,for big indian sales i bought a mobile phone and two notebooks,shopping
35,35,purchases snacks,food
944,944, i cooked breakfast bread ,food
4482,4482,watchsmart bought,shopping
6201,6201,paid taxes a year,bills
1007,1007,i ordered from the waitress at swiggy ,food
5839,5839,i paid for broadband,bills
2182,2182,ticket for two seats on the train,transport
1912,1912,i was just going somewhere for a short walk ,transport
3820,3820,today i picked up new shoes for the new raincoat ,shopping
1045,1045,i ordered a burger over there burger uber eats ,food
3088,3088,filled my petrol tank ,transport
4354,4354,i ve bought some new clothes and shirts ,shopping
1963,1963,i took the bus to the office today ,transport
90,90,today i bought biryani ,food
3875,3875,i bought a watch,shopping
2943,2943,i went for a short visit in my mother ,transport
5847,5847,i paid for my broadband bills ,bills
3120,3120,hotel booked tickets,transport
1014,1014,i have been ordered from the swiggy!,food
3192,3192,tickets to the plane arrive in the next week on the air ,transport
5706,5706,i ve just paid my rent today ,bills
2621,2621,i just went to the homestead,transport
4380,4380,netflix has taken years,shopping
411,411,i bought rice chicken ,food
3450,3450,i bought a pair of nike shoes for myself ,shopping
843,843,i bought some nuts from cashews and dried fruit ,food
3432,3432,i went shopping today to get my jacket ,shopping
6520,6520,I have paid my loan for this month,bills
3444,3444,i bought an ike suit ,shopping
5455,5455,i had to pay rent from home and the next day my roommate she went to check it,bills
1230,1230,uber charges,transport
4116,4116,he used a website to buy a few books ,shopping
4523,4523,i bought a new phone and got a new one for you!,shopping
1924,1924,i had to get some petrol today ,transport
1457,1457,i ve gone back to see the city for a drive ,transport
386,386,1 litre millet and meat today,food
3701,3701,budget for a new tv broadcast,shopping
4760,4760,novels sold,shopping
3684,3684,i bought a mobile ,shopping
5035,5035,i just bought a copy of the film ,shopping
4474,4474,i bought a new watch from the store!,shopping
4411,4411,i bought annazon is prime for a month ,shopping
439,439,my food cost me,food
3383,3383,i bought allen tights ,shopping
1868,1868,i went there today with us ,transport
5684,5684,charges for broadband services are paid ,bills
4894,4894,i bought school bags but they were empty ,shopping
1271,1271,airplane tickets are booked for next week,transport
5268,5268,perfume sales,shopping
479,479,total cost of buying,food
2843,2843,i had to fill the fuel today ,transport
1676,1676,i bought a litre of gasoline today ,transport
5786,5786,rental property is paid,bills
4006,4006,today i went shopping at the mall ,shopping
6505,6505,my bill for electricity is fully paid,bills
